"Title","Rating","Director"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
"Your Money or Your Life",4.9,"Henning Carlsen"
"Forgive or Forget",7.5,"N/A"
"Singularity or Bust",6.8,"Raj Dye"
"All or Nothing",7,"Dave McGlone"
"Trick or Treat",6.7,"Anthony Straeger"
"SpongeBob's Truth or Square",7,"Douglas Carrigan"
"Eat or Be Eaten",7.8,"Philip Austin"
"Bernard and Doris",6.6,"Bob Balaban"
"Seven and a Half",7.8,"Miroslav Momcilovic"
"Trinity and Beyond: The Atomic Bomb Movie",8,"Peter Kuran"
"Todd and the Book of Pure Evil",8.3,"N/A"
"Jack and the Beanstalk: The Real Story",6.9,"N/A"
"Two Pints of Lager and a Packet of Crisps",7,"N/A"
"Kröd Mändoon and the Flaming Sword of Fire",7.2,"N/A"
"Once Upon a Time in China and America",6.4,"Sammo Kam-Bo Hung"
"Going to Pieces: The Rise and Fall of the Slasher Film",7.3,"N/A"
"Beauty and the Bastard",6.6,"Dome Karukoski"
"Believe It or Not (Second Series) #3",5.3,"N/A"
"Jacks or Better",4.5,"Robert Sidney Mellette"
"Kean: Genius or Scoundrel",6.3,"Vittorio Gassman, Francesco Rosi"
